ImageFilename,BumperDamage
car-accident-00023.png,True
car-accident-00512.jpeg,True
car-accident-00460.jpg,False
car-accident-00530.jpg,True
car-accident-00372.jpg,False
car-accident-00459.jpg,False
car-accident-00113.jpeg,True
car-accident-00085.jpg,True
car-accident-00661.png,False
car-accident-00712.jpg,True
car-accident-00438.jpg,True
car-accident-00291.jpg,True
car-accident-00715.jpg,False
car-accident-00309.jpeg,True
car-accident-00461.jpeg,False
car-accident-00218.jpg,True
car-accident-00293.jpeg,True
car-accident-00096.jpg,False
car-accident-00386.jpg,True
car-accident-00523.jpg,True
car-accident-00307.jpg,True
car-accident-00239.jpg,True
car-accident-00676.jpg,True
car-accident-00443.jpg,True
car-accident-00704.jpg,True
car-accident-00083.jpeg,True
car-accident-00499.jpg,True
car-accident-00518.jpg,True
car-accident-00464.jpg,True
car-accident-00079.jpg,True
car-accident-00584.jpg,True
car-accident-00494.jpg,False
car-accident-00232.jpg,True
car-accident-00275.jpg,False
car-accident-00485.jpg,False
car-accident-00575.jpg,True
car-accident-00572.jpg,True
car-accident-00510.jpg,True
car-accident-00236.jpg,True
car-accident-00019.jpg,True
car-accident-00306.jpg,True
car-accident-00078.jpg,True
car-accident-00086.jpg,False
car-accident-00110.jpg,True
car-accident-00048.jpg,False
car-accident-00016.jpg,True
car-accident-00472.jpg,True
car-accident-00280.jpeg,True
car-accident-00257.jpg,True
car-accident-00074.jpg,True
car-accident-00371.jpg,True
car-accident-00525.jpg,False
car-accident-00025.jpg,True
car-accident-00564.jpg,True
car-accident-00503.jpg,False
car-accident-00017.jpg,False
car-accident-00502.jpg,True
car-accident-00474.jpg,True
car-accident-00227.jpg,True
car-accident-00316.jpg,False
ACCURACY_RESULT,0.7333333333333333
