ImageFilename,BumperDamage
car-accident-00023.png,TRUE
car-accident-00512.jpeg,TRUE
car-accident-00460.jpg,TRUE
car-accident-00530.jpg,TRUE
car-accident-00372.jpg,TRUE
car-accident-00459.jpg,TRUE
car-accident-00113.jpeg,TRUE
car-accident-00085.jpg,TRUE
car-accident-00661.png,FALSE
car-accident-00712.jpg,TRUE
car-accident-00438.jpg,FALSE
car-accident-00291.jpg,TRUE
car-accident-00715.jpg,FALSE
car-accident-00309.jpeg,TRUE
car-accident-00461.jpeg,TRUE
car-accident-00218.jpg,TRUE
car-accident-00293.jpeg,TRUE
car-accident-00096.jpg,TRUE
car-accident-00386.jpg,TRUE
car-accident-00523.jpg,TRUE
car-accident-00307.jpg,TRUE
car-accident-00239.jpg,TRUE
car-accident-00676.jpg,FALSE
car-accident-00443.jpg,TRUE
car-accident-00704.jpg,TRUE
car-accident-00083.jpeg,TRUE
car-accident-00499.jpg,TRUE
car-accident-00518.jpg,TRUE
car-accident-00464.jpg,TRUE
car-accident-00079.jpg,TRUE
car-accident-00584.jpg,FALSE
car-accident-00494.jpg,TRUE
car-accident-00232.jpg,TRUE
car-accident-00275.jpg,TRUE
car-accident-00485.jpg,FALSE
car-accident-00575.jpg,FALSE
car-accident-00572.jpg,TRUE
car-accident-00510.jpg,TRUE
car-accident-00236.jpg,TRUE
car-accident-00019.jpg,TRUE
car-accident-00306.jpg,TRUE
car-accident-00078.jpg,TRUE
car-accident-00086.jpg,TRUE
car-accident-00110.jpg,FALSE
car-accident-00048.jpg,FALSE
car-accident-00016.jpg,TRUE
car-accident-00472.jpg,TRUE
car-accident-00280.jpeg,TRUE
car-accident-00257.jpg,FALSE
car-accident-00074.jpg,FALSE
car-accident-00371.jpg,TRUE
car-accident-00525.jpg,TRUE
car-accident-00025.jpg,TRUE
car-accident-00564.jpg,TRUE
car-accident-00503.jpg,TRUE
car-accident-00017.jpg,TRUE
car-accident-00502.jpg,TRUE
car-accident-00474.jpg,TRUE
car-accident-00227.jpg,TRUE
car-accident-00316.jpg,TRUE
ACCURACY_RESULT,0.816666667
